通し番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,教科書参照箇所
84,Pythonにおいて、配列（リスト）の末尾に要素を追加するためのメソッドはどれか。,add,insert,append,remove,3,配列の末尾に要素を追加するには「append」メソッドを使用します。「insert」は指定位置への挿入、「remove」は指定した要素の削除、「add」は集合（set）への追加などに使われます。,38 配列
85,二次元配列「 Data［2］［3］ 」は、表で考えると通常どの位置を表すか（添字は0から始まるとする）。,2行目の3列目,3行目の4列目,2番目の要素,3行目の2列目,2,最初の添字が行、次が列を表します。添字は0から始まるため、Data［2］［3］ は「3行目の4列目」を指します。,38 配列
86,定められた一連の処理を定義し、それを呼び出すことで実行される仕組みを何というか。,配列,クラス,変数,関数,4,特定の処理をまとめて名前を付け、呼び出して実行できるようにしたものを「関数」といいます。「配列」は複数のデータを管理する仕組み、「クラス」はデータとメソッドをまとめた設計図、「変数」はデータを記憶する箱です。,39 関数
87,関数を呼び出す際に、関数の処理に必要な情報として渡す値のことを何というか。,戻り値,引数,要素,添字,2,関数に処理を依頼する際に渡すデータを「引数（ひきすう）」といいます。「戻り値」は関数から返される結果、「要素」は配列の中身、「添字」は配列の番号です。,39 関数
88,関数の中で定義され、その関数の内部でのみ有効な変数を何というか。,ローカル変数,グローバル変数,クラス変数,インスタンス変数,1,関数の中で作成され、関数の外からはアクセスできない変数を「ローカル変数」といいます。プログラム全体で有効な変数は「グローバル変数」、「クラス変数」や「インスタンス変数」はオブジェクト指向で用いる変数です。,39 関数
89,関数が処理を終了した後に、呼び出し元に返す値のことを何というか。,引数,戻り値,仮引数,変数,2,関数の処理結果として呼び出し元に返却されるデータを「戻り値（返り値）」といいます。「引数」は呼び出す際に渡す値、「仮引数」は関数定義側で引数を受け取る変数です。,39 関数
90,配列などのデータ列の端から順番に目的の値を探していくアルゴリズムはどれか。,二分探索,線形探索,バブルソート,選択ソート,2,先頭から順番に目的の値と一致するか確認していく探索方法を「線形探索」といいます。「二分探索」は中央値と比較して範囲を絞る方法、「バブルソート」や「選択ソート」は整列のアルゴリズムです。,40 探索のプログラム
91,線形探索において、データ数が n 個の場合、最も見つかるのが遅い（最悪の）場合の比較回数は何回か。,1回,n/2 回,n 回,log2(n) 回,3,線形探索では、目的のデータが最後にある場合や存在しない場合、すべての要素を確認するため比較回数は「n 回」になります。「log2(n) 回」は二分探索のおおよその最大比較回数です。,40 探索のプログラム
92,二分探索を実行するための必須条件はどれか。,データがすべて正の整数であること,データが昇順または降順に整列されていること,データの個数が奇数であること,データに重複がないこと,2,二分探索は大小関係を利用して探索範囲を半分に絞り込んでいくため、あらかじめデータが昇順または降順に「整列（ソート）されている」必要があります。,40 探索のプログラム
93,整列済みの10個のデータから二分探索で目的の値を探すとき、最大でおよそ何回の比較が必要か。,10回,4回,5回,1回,2,二分探索は1回の比較で範囲が半分になるため、2の4乗（16）以内の最大「4回」で必ず見つけ出すことができます。線形探索の場合は最大10回必要です。,40 探索のプログラム
94,昇順に整列されたデータ列から二分探索を行う際、探索値が中央値より小さい場合、次の探索範囲はどうなるか。,中央値から右側（大きい部分）を探索範囲とする,中央値から左側（小さい部分）を探索範囲とする,探索を終了する,全体をもう一度探索する,2,昇順（小さい順）に並んでいる場合、探索値が中央値より小さければ、目的の値は中央値の左側（小さい部分）に存在することになります。右側は探索範囲から除外されます。,40 探索のプログラム
95,隣り合うデータの大小を比較し、条件に合わなければ交換する操作を繰り返して整列するアルゴリズムを何というか。,選択法（選択ソート）,挿入法（挿入ソート）,交換法（バブルソート）,二分探索,3,隣り合う要素を比較・交換してデータを端に寄せていく整列方法を「交換法（バブルソート）」といいます。「選択法」は最小値を探して交換、「挿入法」は適切な位置に挿入する整列方法です。,41 整列のプログラム
96,交換法（バブルソート）で n 個のデータを昇順に整列するとき、1周目の比較・交換が完了した時点で必ず正しい位置に確定するデータはどれか。,最小値,中央値,最大値,全てのデータ,3,昇順の場合、1周目の操作が終わると、最も大きい値（最大値）が配列の最後尾に押し出されて位置が確定します。,41 整列のプログラム
97,未整列のデータの中から最小値（または最大値）を探し出し、整列済みの末尾の次の要素と交換する整列アルゴリズムを何というか。,選択法（選択ソート）,挿入法（挿入ソート）,交換法（バブルソート）,線形探索,1,データ全体から目的の値を選択し、決まった位置の要素と交換していく整列方法を「選択法（選択ソート）」といいます。「挿入法」は適切な位置に挿入し、「交換法」は隣り合う要素を交換します。,41 整列のプログラム
98,変数aとbの値を入れ替えるため、一時的に値を退避させる変数tempを用いる正しい手順はどれか。,a = b、 b = a,temp = a、 a = b、 b = temp,a = temp、 temp = b、 b = a,temp = b、 b = temp、 a = b,2,aの値をそのままbに上書きするとaの値が消えてしまうため、作業用変数（temp）にaの値を一時保存してから交換します。「temp = a、 a = b、 b = temp」が正解です。,41 整列のプログラム
99,配列「a = ［4、 3、 2、 1］」を昇順にソートしたとき、要素 a［1］ に入る値はどれか。,1,2,3,4,2,昇順（小さい順）にソートすると配列の中身は ［1、 2、 3、 4］ になります。添字は0から始まるため、a［0］が1、a［1］が2となります。,41 整列のプログラム
100,「for i in range(1、 5、 1):」という反復処理において、変数iはいくつからいくつまで変化するか。,1から5,0から4,1から4,0から5,3,range(開始値、 終了値、 増減値) は、開始値から始まり「終了値を含まない」範囲で変化するため、1、 2、 3、 4 と変化します。,37 プログラミングの基本
101,映画の著作物などを複製して譲渡・貸与する権利として最も適当なものを次の中から選びなさい。,頒布権,展示権,公衆送信権,複製権,1,映画の著作物を譲渡や貸与によって公衆に提供する権利を「頒布権」といいます。「展示権」は美術の著作物等を公に展示する権利、「公衆送信権」はインターネット等で送信する権利、「複製権」は著作物をコピーする権利です。,06 著作権
102,データの尺度のうち身長や質量などのように絶対的なゼロ（無）を持ち値の比率に意味がある尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,4,身長や質量のように絶対零点（無）を持ち比率に意味があるものを「比例尺度」といいます。「名義尺度」は区別のための尺度、「順序尺度」は大小関係に意味がある尺度、「間隔尺度」は温度など値の間隔に意味がある尺度です。,29 統計量とデータの尺度
103,個人情報のうち不当な差別や偏見が生じないように特に慎重に取り扱う必要がある「要配慮個人情報」に該当するものはどれか。,氏名,病歴,電話番号,肌の色,2,病歴や信条、犯罪の経歴などは「要配慮個人情報」に該当します。「氏名」や「電話番号」は通常の個人情報です。「肌の色」は人種を推測させるに過ぎないため、それ単体では要配慮個人情報には該当しません。,04 個人情報とその扱い
104,データベースにおいて複数の表を共通する項目（キー）で結び付け一つの表として表示する関係演算の操作を何というか。,結合,射影,選択,集約,1,複数の表を共通する項目で結び付ける操作を「結合」といいます。「射影」は表の中から特定の列（フィールド）を取り出す操作、「選択」は条件に合う行（レコード）を取り出す操作です。「集約」はデータをまとめる処理を指します。,24 データベースの仕組み
105,データベースの操作において表の中から条件に合う特定の行（レコード）を取り出して表示する関係演算を何というか。,結合,射影,選択,抽出,3,与えた条件に合う行（レコード）を取り出して表示する操作を「選択」といいます。特定の列を取り出すのは「射影」、表を結び付けるのは「結合」です。,24 データベースの仕組み
106,POSシステムを導入する目的として最も不適当なものを選びなさい。,いつ、何が、いくつ売れたかの販売情報を即座に集計する,売れ筋商品を把握して在庫管理を効率化する,天候と売上の関連などを分析してマーケティングに活用する,顧客のクレジットカードの暗証番号をデータベースに保存する,4,POSシステムは販売情報の集計や在庫管理に利用されますが、顧客の暗証番号を保存することはセキュリティ上不適切であり目的ではありません。,22 情報システム
107,クリエイティブ・コモンズ・ライセンスのマークのうち「ND」が意味する条件として適当なものはどれか。,作品を改変しないこと（改変禁止）,作品のクレジットを表示すること（表示）,営利目的で利用しないこと（非営利）,元の作品と同じ組み合わせのライセンスで公開すること（継承）,1,ND（NoDerivatives）は「改変禁止」を意味します。「表示」はBY、「非営利」はNC、「継承（同じライセンスで公開）」はSAというマークで表されます。,06 著作権
108,クレジットカード、交通系ICカード、バーコード決済などのキャッシュレス決済のうち高額な物品を購入する際に支払回数を選択できる特徴をもつものはどれか。,交通系ICカード,バーコード決済,クレジットカード,電子マネー,3,クレジットカードは後払いが基本で、分割払いなど支払回数を選択できる特徴があります。交通系ICカードや電子マネーは基本的に前払い（チャージ）や即時払いです。,22 情報システム
109,ECサイトなどで顧客の購入履歴などのデータからその人の興味・関心がありそうな商品を提示する機能を何というか。,フィルタリング機能,レコメンデーション機能,ルーティング機能,スクレイピング機能,2,購入履歴などからおすすめ商品を提示する機能を「レコメンデーション機能」といいます。「フィルタリング」は条件に合う情報を選別する機能、「ルーティング」はネットワークの経路選択、「スクレイピング」はWebサイトからデータを抽出する技術です。,22 情報システム
110,ビッグデータの特性を表す「3つのV」に含まれないものはどれか。,Volume（量）,Variety（種類）,Velocity（発生・更新頻度）,Value（価格）,4,ビッグデータの特性は、データの量（Volume）、種類や多様性（Variety）、発生・更新頻度（Velocity）の3つのVで表されます。Value（価格）は含まれません。,25 データの収集と整理
111,2つの変数の関係の強さを表す「相関係数」について最も適当な記述を選びなさい。,-1から1までの値をとり絶対値が1に近いほど相関が強い。,0から100までの値をとり100に近いほど相関が強い。,負の値をとることはなく必ず正の値をとる。,相関係数が0のとき2つの変数は完全に正の比例関係にある。,1,相関係数は-1から1までの値をとり、1に近いほど強い正の相関、-1に近いほど強い負の相関があります。0に近い場合は相関がない（無相関）ことを示します。,31 時系列分析と回帰分析
112,データの値から平均値を引いた値を何というか。,分散,偏差,標準偏差,中央値,2,個々のデータの値から平均値を引いたものを「偏差」といいます。「分散」は偏差の2乗の平均値、「標準偏差」は分散の正の平方根、「中央値」はデータを順に並べた中央の値です。,30 データの分布と検定の考え方
113,データ通信において受信したデータに誤りがないかを確認するためデータに含まれる「1」の個数が偶数か奇数かを表す情報を付与する手法を何というか。,パリティチェック,デジタル署名,公開鍵暗号,ハフマン符号化,1,「1」の個数を数え、その偶奇を表すパリティビットを付与することで誤りを検出する手法を「パリティチェック」といいます。「デジタル署名」は改ざん検知と本人確認、「公開鍵暗号」は通信の秘匿化、「ハフマン符号化」はデータ圧縮の手法です。,26 安全のための情報技術
114,TCP/IPの4階層モデルにおいて送信先のコンピュータのIPアドレスをもとにデータの通信経路の選択（ルーティング）を行う層はどれか。,アプリケーション層,トランスポート層,インターネット層,ネットワークインタフェース層,3,IPアドレスをもとにルーティングを行うのは「インターネット層」です。「アプリケーション層」はHTTPなどソフトウェア固有の通信、「トランスポート層」はTCPなど通信の信頼性確保、「ネットワークインタフェース層」は隣接機器との通信を担います。,20 インターネットの仕組み
115,CD（コンパクトディスク）の音質において1秒間に行われる標本化（サンプリング）の回数として標準的なものはどれか。,20回,20000回,44100回,1000000回,3,CDの音質の標本化周波数は44100Hz（1秒間に44100回）と定められています。人間の可聴域の上限（約20000Hz）の2倍以上の頻度で標本化する必要があります。,14 音の表現
116,ネットワーク内でデータリンク層で使われるMACアドレス（物理アドレス）をもとに接続されている相手先ポートを限定してパケットを送出する機器を何というか。,L3スイッチ（ルータ）,L2スイッチ（スイッチングハブ）,DNSサーバ,DHCPサーバ,2,MACアドレスをもとにデータの送出先ポートを限定する機器は「L2スイッチ（スイッチングハブ）」です。「L3スイッチ（ルータ）」はIPアドレスをもとに経路選択を行います。「DNSサーバ」はドメイン名とIPアドレスの変換を行います。,20 インターネットの仕組み
117,温度や音の強さなど連続的に変化する量を切れ目のない連続的な量としてそのまま表現する形式を何というか。,アナログ,デジタル,バイナリ,離散化,1,温度や時間のように切れ目のない連続的な量で表現する形式を「アナログ」といいます。一定の間隔で区切り、0と1の数値の組み合わせなどの離散的な値で表現する形式が「デジタル」です。,10 デジタル情報の特徴
118,コンピュータの処理速度を表す単位「MIPS」の説明として正しいものはどれか。,1秒間に画面を描画するフレーム数,毎秒何百万回の命令を実行できるかを表す値,1秒間に転送できるデータ量（ビット数）,1画素あたりに割り当てられるデータ量,2,MIPS（Million Instructions Per Second）は、コンピュータのCPUが1秒間に何百万回の命令を実行できるかを表す性能の指標です。1秒間の描画数はfps、通信速度はbpsです。,16 コンピュータの性能
119,電子メールの宛先指定において受信者が他の誰にメールが送信されたかを知ることができないように（アドレスを隠して）送信する欄はどれか。,To,CC,BCC,Subject,3,「BCC」欄に指定したアドレスは、他の受信者には表示されないため、互いのアドレスを隠して一斉送信する際に用いられます。「CC」欄は参考として共有したい人を指定し、他の受信者にも見えます。,21 Webページの閲覧とメールの送受信
120,10進数の「-3」を4ビットの2進数の補数（2の補数）で表現したものはどれか。,11,1011,1100,1101,4,10進数の3は2進数で「0011」です。0と1を反転（1の補数）させると「1100」となり、これに1を足した「1101」が負の数を表す2の補数表現になります。,13 演算の仕組み
121,ドメイン名とIPアドレスの対応関係を管理し相互に変換を行うサーバを何というか。,Webサーバ,メールサーバ,DNSサーバ,DHCPサーバ,3,ドメイン名とIPアドレスを変換するシステムを「DNSサーバ」といいます。「Webサーバ」はWebページのデータを提供し、「DHCPサーバ」はIPアドレスを自動的に割り当てるサーバです。,20 インターネットの仕組み
122,情報セキュリティにおける脅威のうちメールの添付ファイルや悪意のあるWebサイトを通じてコンピュータに侵入しデータを暗号化して復旧の対価（身代金）を要求する不正プログラムを何というか。,スパイウェア,ランサムウェア,キーロガー,アドウェア,2,データを勝手に暗号化し、元に戻すことと引き換えに金銭を要求するマルウェアを「ランサムウェア」といいます。「スパイウェア」は情報を密かに収集し、「キーロガー」はキー入力を記録し、「アドウェア」は広告を強制表示します。,23 個人による安全対策
123,LAN内のコンピュータがネットワークに接続した際空いているIPアドレスを自動的に割り当てるプロトコルはどれか。,DHCP,HTTP,SMTP,POP,1,ネットワークに接続する機器にIPアドレスなどを自動的に割り当てるプロトコルは「DHCP」です。「HTTP」はWebページのデータ転送、「SMTP」はメール送信、「POP」はメール受信のプロトコルです。,20 インターネットの仕組み
124,画像を構成する画素（ピクセル）の集まりで表現し写真などの保存に適しているが拡大するとジャギーが生じる画像形式を何というか。,ベクタ形式,ラスタ形式（ビットマップ形式）,テキスト形式,アナログ形式,2,点の集合で画像を表現する形式を「ラスタ形式（ビットマップ形式）」といいます。「ベクタ形式」は座標や数式で図形を表現するため、拡大しても滑らかさが保たれる形式です。,15 画像の表現
125,Webページを記述するための言語であるHTMLにおいて見出しや段落、文字色などを指定して「見た目を整える」ための役割を担う言語はどれか。,URL,CSS,XML,C言語,2,HTMLで構造を定義したWebページに対し、文字の色や大きさ、レイアウトなどのデザイン（見た目）を指定する言語を「CSS」といいます。「XML」は独自のタグでデータ構造を記述する言語です。,09 Webページと情報デザイン
126,プログラミングの処理構造のうち「Aの処理が終わったらBの処理を行う」というように記述された順番通りに処理を実行する構造を何というか。,順次構造,選択構造,反復構造,再帰構造,1,記述された命令を上から下へ順番に実行していく最も基本的な構造を「順次構造」といいます。「選択構造」は条件による分岐、「反復構造」は繰り返し、「再帰構造」は関数が自分自身を呼び出す仕組みです。,37 プログラミングの基本
127,Pythonなどのオブジェクト指向プログラミングにおいて特定のデータ型やクラスに結びついており「オブジェクト名.メソッド名(引数)」の形式で呼び出して実行する関数のことを何というか。,プロパティ,メソッド,クラス,モジュール,2,オブジェクトの中で定義され、そのオブジェクトのデータを操作する関数を「メソッド」と呼びます。「プロパティ」はオブジェクトが持つデータ（属性）、「クラス」はそれらをまとめた設計図です。,42 オブジェクト指向プログラミング
128,プログラミングにおいて変数に値を代入したり演算結果を保持したりするために用いられる「=」の記号の正しい意味はどれか。,左辺と右辺が等しいことを判定する。,左辺の変数に右辺の値を代入する。,右辺の変数に左辺の値を代入する。,左辺と右辺の値を入れ替える。,2,プログラミングにおける「=」は等号ではなく、右辺の式や値を左辺の変数に上書き記憶させる「代入」を意味します。等しいことの判定には「==」を用います。,37 プログラミングの基本
129,Pythonにおいて配列（リスト）の末尾に新しい要素を追加するためのメソッドはどれか。,add,insert,append,remove,3,配列（リスト）の最後に要素を追加するには「append」メソッドを使用します。「insert」は指定位置への挿入、「remove」は要素の削除に使用します。,38 配列
130,Pythonの辞書（dict）オブジェクトにおいて辞書に含まれる「キー」と「値」のペアをすべて取得するためのメソッドはどれか。,split(),append(),items(),remove(),3,辞書からすべてのキーと値を取得し、ループ処理などで利用する際には「items()」メソッドを使用します。「split()」は文字列を分割してリストにするメソッドです。,43 オープンデータの活用
131,関数を呼び出す際に呼び出し側から関数へ渡す変数のことを「実引数」というのに対し関数を定義する側でその値を受け取るための変数を何というか。,グローバル変数,仮引数,戻り値,定数,2,関数呼び出しの際に渡される実際の値（実引数）を受け取る、関数定義側の変数を「仮引数」といいます。「グローバル変数」はプログラム全体で使える変数、「戻り値」は関数から返される結果です。,41 整列のプログラム
132,関数の引数に配列（リスト）を渡した場合関数内で配列の要素を変更すると呼び出し元の配列の中身も書き換わる。このようにデータの保存場所を共有する渡し方を何というか。,値渡し,参照渡し,グローバル渡し,ローカル渡し,2,配列のようにデータが保存されているメモリ上の場所（参照先）を渡すことを「参照渡し」といいます。一方、数値や文字列のように値のコピーを渡すため元の値に影響しない渡し方を「値渡し」といいます。,41 整列のプログラム
133,プログラムにおいて関数の外側で定義されプログラム全体からアクセスや変更ができる変数を何というか。,ローカル変数,グローバル変数,引数,戻り値,2,プログラム全体のどこからでも参照・変更できる変数を「グローバル変数」といいます。関数の中で定義され、その中だけで有効な変数は「ローカル変数」です。,39 関数
134,データ数が8個の整列された配列に対して二分探索を行う場合目的のデータを見つけるための最大探索回数はおよそ何回か。,8回,4回,3回,1回,2,二分探索は1回の比較で探索範囲が半分になります。データ数8（=2の3乗）の場合、範囲の個数は8→4→2→1と半減するため、最大4回（[log2(8)]+1）の比較で完了します。,40 探索のプログラム
135,配列の隣り合う要素の大小を比較し条件に合わなければ交換する操作を繰り返して泡が浮かび上がるようにデータを整列するアルゴリズムはどれか。,選択ソート,挿入ソート,バブルソート,クイックソート,3,隣接する要素を比較・交換していくことでデータを端に寄せていく整列方法を「バブルソート（交換法）」といいます。「選択ソート」は最小値を探して交換、「挿入ソート」は整列済みの適切な位置に挿入するアルゴリズムです。,41 整列のプログラム
136,未整列のデータ全体の中から最小値（または最大値）を探し出しそれを整列済みの末尾の次の要素と交換していく整列アルゴリズムを何というか。,選択ソート,挿入ソート,バブルソート,線形探索,1,データ全体から目的の値を選択し、決まった位置の要素と交換していく整列方法を「選択ソート（選択法）」といいます。「バブルソート」は隣接交換、「挿入ソート」は適切な位置への挿入、「線形探索」は探索アルゴリズムです。,41 整列のプログラム
137,未整列の先頭にあるデータをすでに整列済みのデータ列の適切な位置に割り込ませていく整列アルゴリズムを何というか。,選択ソート,挿入ソート,バブルソート,クイックソート,2,整列済みの部分に対して、新しい要素を正しい位置に挿入していく整列方法を「挿入ソート（挿入法）」といいます。「選択ソート」は最小値の選択、「バブルソート」は隣接要素の交換によるアルゴリズムです。,41 整列のプログラム
138,対象データから基準値を一つ選びそれより小さいグループと大きいグループに分割しそれぞれのグループに対して同じ分割処理を繰り返すことで高速に整列するアルゴリズムを何というか。,バブルソート,選択ソート,挿入ソート,クイックソート,4,基準値（ピボット）を用いた分割と、再帰呼び出しを利用して高速に整列を行うアルゴリズムを「クイックソート」といいます。他の選択肢は基本的な整列アルゴリズムです。,総合問題
139,クイックソートなどのプログラムにおいて関数の中で再び「自分自身の関数」を呼び出して繰り返し処理を行うことを何というか。,反復呼び出し,再帰呼び出し,無限ループ,値渡し,2,関数の中で自分自身を呼び出すことを「再帰呼び出し（リカーシブコール）」といい、複雑な繰り返しや分割処理を簡潔に記述できます。「無限ループ」は終了条件がなく永遠に繰り返される状態を指します。,総合問題
140,Pythonで1から6までの整数の乱数を発生させるための関数はどれか（randomモジュールはインポート済みとする）。,random.rand(1、 6),random.random(1、 6),random.randint(1、 6),random.int(1、 6),3,指定した範囲（最小値から最大値まで）の整数の乱数を発生させる関数は「randint」です。「random」関数は0以上1未満の実数の乱数を発生させます。,37 プログラミングの基本
141,Pythonで外部のテキストファイルをプログラムに読み込むためにファイルを開く際に用いる関数はどれか。,open(),read(),close(),input(),1,ファイルを開いてファイルポインタ（ファイルオブジェクト）を取得するためには、「open」関数を使用します。読み込みには「read」、ファイルを閉じるには「close」、キーボードからの入力には「input」を使います。,43 オープンデータの活用
142,Pythonにおいて文字列「10、20、30」をカンマ「、」で区切って配列（リスト）に分割するためのメソッドはどれか。,append(),slice(),split(),replace(),3,文字列を指定した区切り文字で分割し、リストに変換するメソッドは「split()」です。「append()」は要素の追加、「replace()」は文字列の置換を行うメソッドです。,38 配列
143,PythonでウィンドウやボタンなどのGUI（グラフィカルユーザーインターフェース）を作成するために標準で組み込まれているモジュールはどれか。,math,random,datetime,tkinter,4,「tkinter」モジュールは、PythonでGUIアプリケーションを作成するために標準的に利用されます。「math」は数学関数、「random」は乱数、「datetime」は日付と時刻を扱うモジュールです。,43 オープンデータの活用
144,乱数を用いて不確定な要素を含む現象を確率的な考え方でモデル化し円周率の近似値や面積などを求めるシミュレーション手法を何というか。,モンテカルロ法,最小二乗法,移動平均法,線形探索法,1,乱数を用いて大量の試行を行い、確率的に近似解を求める手法を「モンテカルロ法」といいます。「最小二乗法」は回帰直線を求める手法、「移動平均法」は時系列データの変動を平滑化する手法です。,29 モデル化とシミュレーション
145,サイコロの出目の確率やモンテカルロ法などのシミュレーションにおいて試行回数（乱数の発生回数）を非常に大きく増やすと結果はどうなるか。,結果のばらつきが大きくなる。,理論値（真の値）に近づき、ばらつきが小さくなる。,必ず理論値と完全に一致する。,結果は試行回数に関係なく変わらない。,2,大数の法則により、試行回数を増やすほどシミュレーション結果のばらつきは小さくなり、確率的な理論値（真の値）に近づいていきます。完全に一致するとは限りません。,29 モデル化とシミュレーション
146,Pythonのfor文「for i in range(10、 3、 -2):」を実行したとき変数iはどのように変化するか。,10、 9、 8、 7、 6、 5、 4,10、 8、 6、 4,10、 8、 6、 4、 2,エラーになり実行されない,2,range(開始値、 終了値、 増減値)は開始値から「終了値を含まない」範囲で変化します。10から始まり-2ずつ減少し、3より大きい間変化するため、10、 8、 6、 4となります。,37 プログラミングの基本
147,Pythonの関数「int(3.14)」を実行したときの戻り値はどうなるか。,3.14,4,3,エラーになる,3,int関数は実数（浮動小数点数）や文字列を整数に変換する際、小数点以下を切り捨てて整数を返します。したがって3.14は「3」になります。,巻末資料
148,オブジェクト指向プログラミングにおいて関連するデータ（プロパティ）とそれに対する操作（メソッド）を一つにまとめた「設計図」のようなものを何というか。,クラス,モジュール,ライブラリ,配列,1,データと操作をまとめて定義したものを「クラス」といい、クラスから生成された実体を「オブジェクト（インスタンス）」といいます。「モジュール」はプログラムを部品化したファイルのことです。,42 オブジェクト指向プログラミング
149,自動販売機の動作などを表現する際現在の状況（金額など）を丸で表し硬貨の投入などの出来事による状況の変化を矢印で結んで図解したものを何というか。,フローチャート,状態遷移図,クラス図,散布図,2,システムの状態と、入力やイベントに伴う状態の変化（遷移）を図に表したものを「状態遷移図」といいます。「フローチャート」はアルゴリズムの手順、「クラス図」はオブジェクト指向におけるクラスの関係を表す図です。,43 プログラムの設計手法
150,アルゴリズムを図解するフローチャートにおいて「開始」や「終了」を表すために用いられる図記号の形はどれか。,長方形（処理）,ひし形（判断）,平行四辺形（入出力）,端子（角丸長方形）,4,フローチャートにおいて、処理の開始や終了は「端子」と呼ばれる角の丸い長方形や楕円の記号で表されます。「長方形」は処理、「ひし形」は条件分岐、「平行四辺形」はデータの入出力を表します。,43 プログラムの設計手法
151,情報がネットワークなどを通じて短時間で広範囲に伝わる性質を何というか。,残存性,複製性,伝播性,匿名性,3,インターネットなどを介して瞬時に広範囲に伝わる特性を「伝播性」といいます。「残存性」は他人に与えても自分の手元からなくならない性質、「複製性」は容易にコピーできる性質です。「匿名性」は誰が発信したかわかりにくい性質を指します。,01 情報と情報社会
152,次のうち、著作権の保護対象とならないものはどれか。,授業の課題で書いた作文,SNSの利用規約,子供の頃に描いた落書き,アイドルの振り付け,2,著作物は「思想や感情を創作的に表現したもの」です。SNSの利用規約などの実用的な文書や単なるデータは著作物にはなりません。作文、落書き、振り付けなどは創作的な表現とみなされ著作物となります。,06 著作権
153,パスワードの設定・管理について、最も適当なものを選びなさい。,ペットの名前をパスワードにする。,他のサイトでも使用しているパスワードを使用する。,忘れないように短いパスワードにする。,大文字、小文字、数字、記号を混ぜる。,4,推測されやすい名前や短いパスワード、使い回しは危険です。英大文字・小文字、数字、記号などの複数の文字種を混ぜて長くするのが安全なパスワード管理です。,23 個人による安全対策
154,POSシステムを利用することによるメリットに該当しないものはどれか。,在庫管理のスピード向上,売れ筋商品の把握,仕入れ資金の自動調達,天候と売上の関連分析,3,POSシステムは商品の販売情報を即座に集計し、在庫管理やマーケティング（売れ筋や天候との関連分析）に活用する仕組みですが、資金調達はシステムの目的ではありません。,22 情報システム
155,デジタル署名において、送信されたデータが確かに本人のものであることを受信者が検証（復号）する際に用いる鍵はどれか。,送信者の秘密鍵,送信者の公開鍵,受信者の秘密鍵,受信者の公開鍵,2,デジタル署名では、送信者が自身の「秘密鍵」で暗号化し、受信者が「送信者の公開鍵」で復号できれば本人確認が成立します。「受信者の公開鍵」で暗号化するのは、通信の秘密を守る（盗聴を防ぐ）公開鍵暗号方式の場合です。,26 安全のための情報技術
156,気温（℃）や西暦などのように、間隔が等しいことに意味はあるが、絶対的なゼロ（無）を持たないデータの尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,3,値の差（間隔）に意味がある尺度が「間隔尺度」です。身長や質量のように絶対的なゼロを持ち比率に意味があるものは「比例尺度」、大小関係のみに意味があるのが「順序尺度」、区別のみの目的が「名義尺度」です。,29 統計量とデータの尺度
157,書籍に記されているISBNコードの最後の1桁は、コードが正しく読み取られたかをチェックするための数字である。これを何というか。,パリティビット,チェックディジット,ハッシュ値,デジタル署名,2,入力や読み取りの誤りを検出するために一定の計算式で末尾に付加される数字を「チェックディジット」といいます。「パリティビット」は通信時の誤り検出符号、「ハッシュ値」はデータの同一性確認に使う値、「デジタル署名」は本人確認技術です。,26 安全のための情報技術
158,エクセルの表で、セルA2の点数が80点以上なら「合格」、そうでなければ「不合格」と表示するための正しい式はどれか。,=IF(A2>80、「合格」、「不合格」),=IF(A2<=80、「合格」、「不合格」),=IF(A2>=80、「合格」、「不合格」),=IF(A2==80、「合格」、「不合格」),3,「80点以上」は比較演算子の >= を用います。> は「より大きい」、<= は「以下」、== はPythonなどで用いられる等号（Excelでは = ）です。IF関数は =IF(条件、真の場合、偽の場合) と記述します。,28 ソフトウェアを利用したデータの処理
159,乱数を用いて、不確定な要素を含む現象から確率的に円周率の近似値や面積などを求めるシミュレーション手法を何というか。,モンテカルロ法,最小二乗法,移動平均法,二分探索法,1,大量の乱数を用いて確率的に近似解を求める手法を「モンテカルロ法」と呼びます。「最小二乗法」は回帰直線を求める手法、「移動平均法」は時系列の傾向をみる手法、「二分探索法」はデータを半分に絞り込む探索アルゴリズムです。,35 確率的モデルのシミュレーション
160,リレーショナルデータベースにおいて、複数の表を共通する項目（キー）で結び付け、一つの表としてまとめる操作を何というか。,選択,射影,結合,集約,3,別々の表にあるデータを、共通のフィールド（列）を基準に結び付けて一つの表にする関係演算を「結合」といいます。「選択」は条件に合う行の抽出、「射影」は特定の列の抽出、「集約」はデータの合計や平均を求める処理です。,24 データベースの仕組み
161,情報漏えいの原因として、外部からのサイバー攻撃だけでなく、企業内部で起こる誤操作などの問題も多い。これを何というか。,マルウェア,ヒューマンエラー,ソーシャルエンジニアリング,ゼロデイ攻撃,2,人間の不注意や思い込み、誤操作などによるミスや事故を「ヒューマンエラー」といいます。「マルウェア」は悪意のあるソフトウェア、「ソーシャルエンジニアリング」は人の心理の隙を突いて情報を盗む手法、「ゼロデイ攻撃」は欠陥修正前の攻撃です。,23 個人による安全対策
